Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Fall Guys: Ultimate Knockout,2020-08-03,,"20,000,000 .. 50,000,000",Mediatonic,SmashGames,2.00E+07,5.00E+07,20.0M,50.0M
Rocket League,2015-07-07,,"10,000,000 .. 20,000,000",Psyonix LLC,Psyonix LLC,1.00E+07,2.00E+07,10.0M,20.0M
VRChat,2017-02-01,0.0,"10,000,000 .. 20,000,000",VRChat Inc.,VRChat Inc.,1.00E+07,2.00E+07,10.0M,20.0M
Street Warriors Online,2016-12-16,1.99,"10,000,000 .. 20,000,000",Crazy Rocks Studios,Crazy Rocks Studios,1.00E+07,2.00E+07,10.0M,20.0M
Football Manager 2020,2019-11-19,,"5,000,000 .. 10,000,000",Sports Interactive,SEGA,5.00E+06,1.00E+07,5.0M,10.0M
NBA 2K20,2019-09-06,,"5,000,000 .. 10,000,000",Visual Concepts,2K,5.00E+06,1.00E+07,5.0M,10.0M
Freestyle 2: Street Basketball,2015-04-01,0.0,"5,000,000 .. 10,000,000",JOYCITY,JOYCITY,5.00E+06,1.00E+07,5.0M,10.0M
theHunter Classic,2014-06-03,0.0,"5,000,000 .. 10,000,000","Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",5.00E+06,1.00E+07,5.0M,10.0M
EA SPORTS FIFA 23,2022-09-29,20.99,"5,000,000 .. 10,000,000",EA Canada & EA Romania,Electronic Arts,5.00E+06,1.00E+07,5.0M,10.0M
DiRT Rally,2015-12-07,,"2,000,000 .. 5,000,000","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts",2.00E+06,5.00E+06,2.0M,5.0M
Assetto Corsa,2014-12-19,3.99,"2,000,000 .. 5,000,000",Kunos Simulazioni,Kunos Simulazioni,2.00E+06,5.00E+06,2.0M,5.0M
SpeedRunners,2016-04-19,14.99,"2,000,000 .. 5,000,000",DoubleDutch Games,tinyBuild,2.00E+06,5.00E+06,2.0M,5.0M
